"sq_candidato","Nome.Candidato","Cidade","UF","Cargo","Partido","Resultado_Eleitoral","Genero","Raca","Valor_Receita","Votos","ano"
230000679786,"Ismael Dos Santos Monteiro","Boa Vista","RR","Vereador","PSC","Suplente","MASC.","PARDA",14200,74,2020
230000679787,"JANDERSON JUNHO DOS REIS BARBOSA","Boa Vista","RR","Vereador","PSC","Suplente","MASC.","BRANCA",14200,247,2020
230000679790,"Gileno Pereira Nogueira","Boa Vista","RR","Vereador","PSC","Suplente","MASC.","BRANCA",14200,90,2020
230000679792,"Gilvan Dos Santos","Boa Vista","RR","Vereador","PSC","Suplente","MASC.","PRETA",14200,19,2020
230000679794,"Israel Vieira Da Costa","Boa Vista","RR","Vereador","PSC","Suplente","MASC.","PARDA",14200,86,2020
230000679796,"Lindomar Alves Alencar","Boa Vista","RR","Vereador","PSC","Suplente","MASC.","BRANCA",14200,71,2020
230000679799,"Oziel Stradivarios Dos Santos Xavier","Boa Vista","RR","Vereador","PSC","Suplente","MASC.","PARDA",14200,31,2020
230001057274,"Ronis Galé","Boa Vista","RR","Vereador","CIDADANIA","Não Eleito","MASC.","PARDA",14323.48,142,2020
230001057266,"Alynelson Farias Pereira","Boa Vista","RR","Vereador","CIDADANIA","Não Eleito","MASC.","PARDA",14331,772,2020
230000779712,"Francisco Edmilson De Albuquerque","Boa Vista","RR","Vereador","PDT","Não Eleito","MASC.","PARDA",14452.7,85,2020
230001058444,"ROGERIO MATOS MOREIRA TRAJANO JUNIOR","Boa Vista","RR","Vereador","PMB","Suplente","MASC.","PARDA",14470,1012,2020
230000838397,"MARCELO RODRIGUES BATISTA","Boa Vista","RR","Vereador","PATRIOTA","Não Eleito","MASC.","PARDA",15000,1106,2020
230001054234,"Iloir Inacio De Souza","Boa Vista","RR","Vereador","PL","Suplente","MASC.","PARDA",15000,424,2020
230001056303,"Daniel Medeiros Lima","Boa Vista","RR","Vereador","PSD","Suplente","MASC.","PARDA",15000,391,2020
230001054012,"Jordel Ferreira Dos Santos","Boa Vista","RR","Vereador","PT","Não Eleito","MASC.","PARDA",15136.87,97,2020
230000679803,"Ramom Da Silva Do Nascimento","Boa Vista","RR","Vereador","PSC","Suplente","MASC.","PARDA",15200,143,2020
230000837928,"Andressa Kellen Sales","Boa Vista","RR","Vereador","DEM","Não Eleito","FEM.","PARDA",15215,28,2020
230000837370,"Regiane De Souza","Boa Vista","RR","Vereador","REDE","Nulo","FEM.","PARDA",15340,0,2020
230000679798,"Nália Alves De Oliveira","Boa Vista","RR","Vereador","PSC","Suplente","FEM.","PARDA",15400,48,2020
230000679800,"Marilene Silva Dos Santos","Boa Vista","RR","Vereador","PSC","Suplente","FEM.","PARDA",15400,21,2020
230000679802,"Maria José Sobral Da Silva Almeida","Boa Vista","RR","Vereador","PSC","Suplente","FEM.","PARDA",15400,236,2020
230000679788,"Solange Ferreira De Sousa","Boa Vista","RR","Vereador","PSC","Suplente","FEM.","PRETA",15410.45,52,2020
230000679797,"Eliton Trajano Araújo","Boa Vista","RR","Vereador","PSC","Suplente","MASC.","PARDA",15468.2,464,2020
230000837415,"Antonio Jobson Alves Da Silva","Boa Vista","RR","Vereador","PP","Suplente","MASC.","PARDA",15933.33,276,2020
230001251761,"Cintia Maria Do Carmo Feitosa","Boa Vista","RR","Vereador","PROS","Não Eleito","FEM.","PARDA",16000,9,2020
230000837822,"Josué Costa Da Silva","Boa Vista","RR","Vereador","PODE","Não Eleito","MASC.","PARDA",16200,174,2020
230000837830,"Eliel Bezerra Lima","Boa Vista","RR","Vereador","PODE","Não Eleito","MASC.","PARDA",16200,99,2020
230000837831,"Jean Carlos Sena Batista","Boa Vista","RR","Vereador","PODE","Não Eleito","MASC.","PARDA",16200,57,2020
230000837834,"Robson Lins Travassos","Boa Vista","RR","Vereador","PODE","Não Eleito","MASC.","PARDA",16200,55,2020
230000837836,"Paulo Rogerio Nunes Da Paciência","Boa Vista","RR","Vereador","PODE","Não Eleito","MASC.","PRETA",16200,81,2020
230000837839,"Josimael De Souza","Boa Vista","RR","Vereador","PODE","Não Eleito","MASC.","PRETA",16200,99,2020
230000837840,"Elves Kebi Salviano Da Silva","Boa Vista","RR","Vereador","PODE","Não Eleito","MASC.","BRANCA",16200,190,2020
230000837825,"Eliezer Pereira Dos Santos","Boa Vista","RR","Vereador","PODE","Não Eleito","MASC.","PARDA",16200.35,72,2020
230000837920,"Raimundo Nonato Dourado","Boa Vista","RR","Vereador","DEM","Não Eleito","MASC.","PRETA",16218,10,2020
230001056304,"Wesley Carvalho De Sousa","Boa Vista","RR","Vereador","PSD","Suplente","MASC.","BRANCA",16500,162,2020
230001056308,"Herbert Machado Lima","Boa Vista","RR","Vereador","PSD","Suplente","MASC.","BRANCA",16500,206,2020
230001056309,"Rejane Da Luz De Queiroz","Boa Vista","RR","Vereador","PSD","Suplente","FEM.","BRANCA",16500,127,2020
230001056329,"Silvana Przibilwiez Queiroz","Boa Vista","RR","Vereador","PSD","Suplente","FEM.","BRANCA",16500,32,2020
230001056330,"Leandro Vieira Pinto","Boa Vista","RR","Vereador","PSD","Suplente","MASC.","BRANCA",16500,47,2020
230000679784,"Clarice Custódio De Sousa","Boa Vista","RR","Vereador","PSC","Suplente","FEM.","BRANCA",16600,127,2020
230001251762,"Claudeci Batista Alves De Jesus","Boa Vista","RR","Vereador","PROS","Não Eleito","FEM.","PARDA",16600,701,2020
230001251763,"Airlys Suely De Lima Cabral","Boa Vista","RR","Vereador","PROS","Não Eleito","FEM.","PARDA",16600,53,2020
230001251775,"Mayara Pereira Casusa","Boa Vista","RR","Vereador","PROS","Não Eleito","FEM.","PARDA",16600,25,2020
230000837422,"ELIZABETH SILVA DE ALMEIDA","Boa Vista","RR","Vereador","PP","Suplente","FEM.","PARDA",16833.33,704,2020
230001251774,"Saira Breves Pinto","Boa Vista","RR","Vereador","PROS","Não Eleito","FEM.","PARDA",16970,207,2020
230000679795,"Ketlen Brenda Rodrigues De Abreu","Boa Vista","RR","Vereador","PSC","Suplente","FEM.","PARDA",17000,50,2020
230001058247,"Namis Levino Da Silva Filho","Boa Vista","RR","Vereador","PSB","Não Eleito","MASC.","PARDA",17000,265,2020
230001054006,"Fabiola Sampaio Dos Santos","Boa Vista","RR","Vereador","PT","Não Eleito","FEM.","INDÍGENA",17435.59,92,2020
230000679793,"Edivaldo Victor De Lima","Boa Vista","RR","Vereador","PSC","Suplente","MASC.","BRANCA",17585,401,2020
230000679791,"Francijamy Gomes Menezes","Boa Vista","RR","Vereador","PSC","Suplente","MASC.","PARDA",17700,231,2020
230000837929,"Roberval Garcia De Menezes","Boa Vista","RR","Vereador","DEM","Não Eleito","MASC.","PARDA",17820.33,43,2020
230000787486,"José Ricardo Barbosa De Brito","Boa Vista","RR","Vereador","PTB","Suplente","MASC.","PARDA",17956,20,2020
230000787488,"Marinaldo Brito Costa","Boa Vista","RR","Vereador","PTB","Suplente","MASC.","PARDA",17956,538,2020
230000787493,"Jose Nilton Matias Lima","Boa Vista","RR","Vereador","PTB","Suplente","MASC.","PARDA",17956,143,2020
230000787494,"Alexandre Mota Monteiro","Boa Vista","RR","Vereador","PTB","Suplente","MASC.","PARDA",17956,512,2020
230000787495,"Bruno Carvalho Correia","Boa Vista","RR","Vereador","PTB","Suplente","MASC.","PARDA",17956,176,2020
230000787500,"Alexsandro Barbosa","Boa Vista","RR","Vereador","PTB","Suplente","MASC.","PARDA",17956,44,2020
230000787504,"CLAUDIO APARECIDO DA SILVA","Boa Vista","RR","Vereador","PTB","Suplente","MASC.","PARDA",17956,128,2020
230000787505,"Leonardo Dalazoana De França","Boa Vista","RR","Vereador","PTB","Suplente","MASC.","PARDA",17956,58,2020
230001056315,"Afonso Valter Parente Pinto","Boa Vista","RR","Vereador","PSD","Suplente","MASC.","BRANCA",18000,652,2020
230000679801,"REGINALDO GOMES DOS SANTOS","Boa Vista","RR","Vereador","PSC","Suplente","MASC.","PRETA",18040,47,2020
230000787499,"Pedro De Almeida Souza","Boa Vista","RR","Vereador","PTB","Suplente","MASC.","PARDA",18056,40,2020
230001056326,"Sebastiao Guerreiro Diniz","Boa Vista","RR","Vereador","PSD","Suplente","MASC.","PARDA",18100,80,2020
230000838767,"Mario Marcio Brito Sampaio","Boa Vista","RR","Vereador","SOLIDARIEDADE","Suplente","MASC.","BRANCA",18120,627,2020
230000787487,"Katiane Alves Reis","Boa Vista","RR","Vereador","PTB","Suplente","FEM.","PARDA",18164,21,2020
230000787501,"Djanira Batista Da Silva Freitas","Boa Vista","RR","Vereador","PTB","Suplente","FEM.","PARDA",18164,46,2020
230000787503,"Juliete Da Silva Clementino","Boa Vista","RR","Vereador","PTB","Suplente","FEM.","PARDA",18164,68,2020
230001058450,"ADNAN WADSON DE LIMA","Boa Vista","RR","Vereador","PMB","Eleito","MASC.","BRANCA",18240,1178,2020
230000838121,"Jose Flavio De Matos","Boa Vista","RR","Vereador","PTC","Suplente","MASC.","BRANCA",18355,188,2020
230001054242,"ELEDILSON GOMES BAIA","Boa Vista","RR","Vereador","PL","Suplente","MASC.","PARDA",18388.66,269,2020
230001056784,"WAN KENOBBY CHA COSTA","Boa Vista","RR","Vereador","PV","Eleito","MASC.","BRANCA",18675.64,1437,2020
230000775754,"Rhauan Hulek Linario Leal","Boa Vista","RR","Vereador","REPUBLICANOS","Suplente","MASC.","BRANCA",20000,101,2020
230000775762,"José Da Cruz Rodrigues","Boa Vista","RR","Vereador","REPUBLICANOS","Suplente","MASC.","PARDA",20000,42,2020
230000830983,"Estevam Assunção E Silva","Boa Vista","RR","Vereador","MDB","Suplente","MASC.","BRANCA",20000,29,2020
230000830988,"Cassio Murilo Gomes","Boa Vista","RR","Vereador","MDB","Nulo","MASC.","BRANCA",20000,0,2020
230000830992,"Heron Ferreira Da Silva Muneymne","Boa Vista","RR","Vereador","MDB","Suplente","MASC.","PARDA",20000,319,2020
230000830994,"Neuber Francisco Melo Uchôa","Boa Vista","RR","Vereador","MDB","Suplente","MASC.","BRANCA",20000,217,2020
230000831002,"Nilão Dos Passos Araújo","Boa Vista","RR","Vereador","MDB","Suplente","MASC.","BRANCA",20000,158,2020
230001251770,"Edidama Americo De Lima","Boa Vista","RR","Vereador","PROS","Não Eleito","FEM.","PARDA",20200,166,2020
230001054019,"Elias Freitas Santos","Boa Vista","RR","Vereador","PT","Não Eleito","MASC.","PRETA",20756.71,258,2020
230000830997,"ZÉLIO DOS SANTOS MOTA","Boa Vista","RR","Vereador","MDB","Suplente","MASC.","INDÍGENA",20800,1060,2020
230000837919,"Sandra De Amorim Gama","Boa Vista","RR","Vereador","DEM","Não Eleito","FEM.","PARDA",20980,161,2020
230001056311,"Rayça Verlane Silva Souza Alencar","Boa Vista","RR","Vereador","PSD","Suplente","FEM.","BRANCA",21000,189,2020
230001054014,"Ediane Rodrigues Leandro","Boa Vista","RR","Vereador","PT","Não Eleito","FEM.","PARDA",21093.99,240,2020
230001056783,"Cristiana Benicio Vieira","Boa Vista","RR","Vereador","PV","Suplente","FEM.","PARDA",21100,114,2020
230001056301,"Francisco Elias Dantas Monteiro","Boa Vista","RR","Vereador","PSD","Suplente","MASC.","PARDA",21500,112,2020
230001056317,"Amarildo Farias De Carvalho","Boa Vista","RR","Vereador","PSD","Suplente","MASC.","PARDA",21500,27,2020
230001056778,"Cicero De Almeida Silva","Boa Vista","RR","Vereador","PV","Suplente","MASC.","PARDA",21568.64,900,2020
230000837923,"Helem Regina Costa Bezerra","Boa Vista","RR","Vereador","DEM","Não Eleito","FEM.","PARDA",21790,132,2020
230000837924,"José Ivaldo Guedes Da Silva Cruz","Boa Vista","RR","Vereador","DEM","Não Eleito","MASC.","PARDA",22458,187,2020
230001054007,"REJANE MESSIAS DE OLIVEIRA CARVALHO","Boa Vista","RR","Vereador","PT","Não Eleito","FEM.","INDÍGENA",22521.93,136,2020
230000787485,"Mikaellyson Martins Da Silva","Boa Vista","RR","Vereador","PTB","Suplente","MASC.","PRETA",22806,337,2020
230000837917,"Luana Camelo De Sousa","Boa Vista","RR","Vereador","DEM","Não Eleito","FEM.","PARDA",22980,19,2020
230000837823,"Maria Francisca Gomes Da Silva","Boa Vista","RR","Vereador","PODE","Não Eleito","FEM.","PARDA",22990,266,2020
230000837829,"Cirleia Maria Carvalho Cordeiro","Boa Vista","RR","Vereador","PODE","Não Eleito","FEM.","PARDA",23000,71,2020
230000837833,"Danubia Monteiro De Sousa Gama","Boa Vista","RR","Vereador","PODE","Não Eleito","FEM.","PARDA",23000,176,2020
230000787496,"RORAIMA DIAS VERAS","Boa Vista","RR","Vereador","PTB","Suplente","MASC.","PARDA",23181,1417,2020
230000679785,"Eronilson Bispo Feitosa","Boa Vista","RR","Vereador","PSC","Eleito","MASC.","PARDA",23194,970,2020
230000837828,"Eliana Antonina Rocha","Boa Vista","RR","Vereador","PODE","Não Eleito","FEM.","PARDA",23340,46,2020
230000838768,"Iracema Araldi","Boa Vista","RR","Vereador","SOLIDARIEDADE","Suplente","FEM.","BRANCA",23450,394,2020
230000837832,"Conceição Da Silva Ferreira","Boa Vista","RR","Vereador","PODE","Não Eleito","FEM.","PARDA",23492,237,2020
230000837824,"Ivone Sobrinho De Sousa","Boa Vista","RR","Vereador","PODE","Não Eleito","FEM.","BRANCA",23500,174,2020
230001056312,"Jose Domingos Mendes","Boa Vista","RR","Vereador","PSD","Suplente","MASC.","PARDA",23500,99,2020
230000837429,"Nilo Caetano Pinho Cavalcante","Boa Vista","RR","Vereador","PP","Suplente","MASC.","BRANCA",23683.33,564,2020
230000838750,"WAGNER SILVA FEITOSA","Boa Vista","RR","Vereador","SOLIDARIEDADE","Suplente","MASC.","PARDA",23820,1245,2020
230001054011,"Roberto Rodrigues Morais","Boa Vista","RR","Vereador","PT","Não Eleito","MASC.","BRANCA",23881.31,189,2020
230000787484,"Longuinho Peterson Da Silva Castro","Boa Vista","RR","Vereador","PTB","Suplente","MASC.","PARDA",23956,226,2020
230000775758,"VALDEILSON DA SILVA","Boa Vista","RR","Vereador","REPUBLICANOS","Suplente","MASC.","PARDA",24020,1108,2020
230000837838,"Glisia Natalia Mian Da Paixão","Boa Vista","RR","Vereador","PODE","Não Eleito","FEM.","PARDA",24480,488,2020
230000787489,"Monica Nogueira Terto De Sousa","Boa Vista","RR","Vereador","PTB","Suplente","FEM.","PARDA",24814,735,2020
230000837364,"Luiz Rodrigues Dos Santos","Boa Vista","RR","Vereador","REDE","Suplente","MASC.","PARDA",25040,147,2020
230000837378,"Jorge Anderson Schwinden","Boa Vista","RR","Vereador","REDE","Suplente","MASC.","BRANCA",25040,56,2020
